Part;Value;Device
C1;100n;C-EU050-025X075
C2;1u;C-EU050-025X075
C3;1u;C-EU050-025X075
C4;4n7;C-EU050-025X075
C5;47u;CPOL-USE2.5-6
C6;100p;C-EU050-025X075
C7;100n;C-EU050-025X075
C8;100n;C-EU050-025X075
C9;100n;C-EU050-025X075
C10;1n;C-EU050-025X075
C11;47n;C-EU050-025X075
C12;4n7;C-EU050-025X075
C13;47n;C-EU050-025X075
C14;1n;C-EU050-025X075
C15;4n7;C-EU050-025X075
C16;4n7;C-EU050-025X075
C17;1u;C-EU050-025X075
C18;100p;C-EU050-025X075
C19;1u;C-EU050-025X075
C20;1u;C-EU050-025X075
C21;100u;CPOL-USE2.5-6
C22;47u;CPOL-USE2.5-6
C23;100u;CPOL-USE2.5-6
C24;100n;C-EU050-025X075
C25;10u;CPOL-USE2.5-5
C26;100n;C-EU050-025X075
C27;10u;CPOL-USE2.5-5
C28;100p;C-EU050-025X075
C29;1u;C-EU050-025X075
C30;1u;C-EU050-025X075
C31;1u;C-EU050-025X075
C32;100n;C-EU050-025X075
C33;100n;C-EU050-025X075
C34;47u;CPOL-USE2.5-6
C35;100n;C-EU050-025X075
C36;100p;C-EU050-025X075
C37;4n7;C-EU050-025X075
C38;1n;C-EU050-025X075
C39;47n;C-EU050-025X075
C40;4n7;C-EU050-025X075
C41;47n;C-EU050-025X075
C42;4n7;C-EU050-025X075
C43;1n;C-EU050-025X075
C44;4n7;C-EU050-025X075
C45;1u;C-EU050-025X075
C46;1u;C-EU050-025X075
C47;1u;C-EU050-025X075
C48;1u;C-EU050-025X075
C49;1u;C-EU050-025X075
C50;1u;C-EU050-025X075
C51;1u;C-EU050-025X075
C52;1u;C-EU050-025X075
D1;1N5817;DO41.3
D2;LED.3;LED.3
D3;LED.3;LED.3
D4;LED.3;LED.3
D_PAN;W20k;16MM.1
D_VOL;B50k;16MM.1
IC1;TL072P;TL072P
IC2;LM324N;LM324N
IC3;ES56033E;DIL16
IC4;7805T;7805T
IC5;TL072P;TL072P
IC6;ES56033E;DIL16
PAN1;W20k;16MM.1
PAN2;W20k;16MM.1
PITCH1;A1k;16MM.1
PITCH2;A1k;16MM.1
R1;1M;R-US_0207/7
R2;220k;R-US_0207/7
R3;1k;R-US_0207/7
R4;12k;R-US_0207/7
R5;15k;R-US_0207/7
R6;10k;R-US_0207/7
R7;15k;R-US_0207/7
R8;10k;R-US_0207/7
R9;12k;R-US_0207/7
R10;4k7;R-US_0207/7
R11;33k;R-US_0207/7
R12;2k2;R-US_0207/7
R13;33k;R-US_0207/7
R14;100k;R-US_0207/7
R15;1k;R-US_0207/7
R16;100k;R-US_0207/7
R17;10k;R-US_0207/7
R18;10k;R-US_0207/7
R19;220k;R-US_0207/7
R20;4k7;R-US_0207/7
R21;220k;R-US_0207/7
R22;100k;R-US_0207/7
R23;22R;R-US_0207/7
R24;22R;R-US_0207/7
R25;100R;R-US_0207/7
R26;RLED;R-US_0207/7
R27;100R;R-US_0207/7
R28;33k;R-US_0207/7
R29;100k;R-US_0207/7
R30;1k;R-US_0207/7
R31;100k;R-US_0207/7
R32;33k;R-US_0207/7
R33;33k;R-US_0207/7
R34;33k;R-US_0207/7
R35;33k;R-US_0207/7
R36;33k;R-US_0207/7
R37;12k;R-US_0207/7
R38;10k;R-US_0207/7
R39;15k;R-US_0207/7
R40;12k;R-US_0207/7
R41;10k;R-US_0207/7
R42;15k;R-US_0207/7
R43;4k7;R-US_0207/7
R44;33k;R-US_0207/7
R45;2k2;R-US_0207/7
R46;33k;R-US_0207/7
R47;33k;R-US_0207/7
R48;33k;R-US_0207/7
R49;220k;R-US_0207/7
R50;4k7;R-US_0207/7
R51;220k;R-US_0207/7
R52;100k;R-US_0207/7
R53;RLED;R-US_0207/7
R54;RLED;R-US_0207/7
SPEED1;B500k;TRIMMER
SPEED2;B500k;TRIMMER
T1;BC549;BC549
T2;BC549;BC549
TIME1;B10k;16MM.1
TIME2;B10k;16MM.1
VOL1;B50k;16MM.1
VOL2;B50k;16MM.1
